,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,date_str
99,97.12,99.75,96.99,98.66,52115674.0,99.75,96.99,98.66,97.105,52604273.0,1.0,0.0,NFLX,XNAS,2026-03-04 00:00:00+00:00,Mar 04
94,98.495,100.19,98.1,99.17,53241615.0,100.19,98.1,99.17,98.5,53403048.0,1.0,0.0,NFLX,XNAS,2026-03-05 00:00:00+00:00,Mar 05
89,99.38,99.88,97.4,99.02,39306944.0,99.88,97.4,99.02,99.33,41196294.0,1.0,0.0,NFLX,XNAS,2026-03-06 00:00:00+00:00,Mar 06
84,97.69,98.94,96.58,98.32,47858580.0,98.94,96.58,98.32,97.7,48589009.0,1.0,0.0,NFLX,XNAS,2026-03-09 00:00:00+00:00,Mar 09
79,97.81,98.49,96.29,96.94,40948700.0,98.49,96.29,96.94,97.805,41027158.0,1.0,0.0,NFLX,XNAS,2026-03-10 00:00:00+00:00,Mar 10
74,97.41,98.0,94.69,94.89,33720500.0,98.0,94.685,94.89,97.41,33962858.0,1.0,0.0,NFLX,XNAS,2026-03-11 00:00:00+00:00,Mar 11
69,94.926,95.4,93.87,94.31,33941082.0,95.4,93.87,94.31,94.86,34206855.0,1.0,0.0,NFLX,XNAS,2026-03-12 00:00:00+00:00,Mar 12
64,94.55,95.6797,94.24,95.31,29808277.0,95.68,94.24,95.31,94.64,29876659.0,1.0,0.0,NFLX,XNAS,2026-03-13 00:00:00+00:00,Mar 13
59,95.58,96.1,94.36,95.2,34582324.0,96.1,94.36,95.2,95.58,34931831.0,1.0,0.0,NFLX,XNAS,2026-03-16 00:00:00+00:00,Mar 16
54,95.3,96.34,94.01,94.36,26283342.0,96.34,94.01,94.36,95.3,26434496.0,1.0,0.0,NFLX,XNAS,2026-03-17 00:00:00+00:00,Mar 17
49,94.445,95.335,93.61,94.7,27264739.0,95.335,93.61,94.7,94.445,27878318.0,1.0,0.0,NFLX,XNAS,2026-03-18 00:00:00+00:00,Mar 18
44,94.31,95.75,90.775,91.74,38239433.0,95.75,90.775,91.74,94.31,40169250.0,1.0,0.0,NFLX,XNAS,2026-03-19 00:00:00+00:00,Mar 19
39,91.37,91.88,90.69,91.82,61493975.0,91.88,90.69,91.82,91.31,61678012.0,1.0,0.0,NFLX,XNAS,2026-03-20 00:00:00+00:00,Mar 20
34,91.99,93.98,91.86,93.38,33605523.0,93.98,91.86,93.38,92.04,34315874.0,1.0,0.0,NFLX,XNAS,2026-03-23 00:00:00+00:00,Mar 23
29,92.79,93.7398,90.815,90.92,28812449.0,93.7398,90.815,90.92,92.79,28938033.0,1.0,0.0,NFLX,XNAS,2026-03-24 00:00:00+00:00,Mar 24
24,91.735,92.52,91.235,92.28,29491408.0,92.52,91.235,92.28,91.71,29545625.0,1.0,0.0,NFLX,XNAS,2026-03-25 00:00:00+00:00,Mar 25
19,91.534,95.86,91.01,93.32,59159281.0,95.86,91.01,93.32,91.52,59522026.0,1.0,0.0,NFLX,XNAS,2026-03-26 00:00:00+00:00,Mar 26
14,94.534,95.5799,92.74,93.43,44308432.0,95.5799,92.74,93.43,94.57,44590673.0,1.0,0.0,NFLX,XNAS,2026-03-27 00:00:00+00:00,Mar 27
9,92.757,94.49,92.22,92.97,29207947.0,94.49,92.22,92.97,92.75,32375138.0,1.0,0.0,NFLX,XNAS,2026-03-30 00:00:00+00:00,Mar 30
4,93.25,96.26,93.17,96.15,53674277.0,96.26,93.03,96.15,93.03,54269957.0,1.0,0.0,NFLX,XNAS,2026-03-31 00:00:00+00:00,Mar 31
